ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,Baseline.stopped,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,intro.stopped,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Feedback.stopped,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,player_action_keys_punish.rt,player_action_keys_punish.duration,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,10.275828300000285,,0.0018801999976858497,0.040642099993419833,0.040642099993419833,0.040642099993419833,0.040642099993419833,0.040642099993419833,0.040642099993419833,4.981085399995209,1,3.3262564999895403,0,3.909657899988815,0,4.193278199993074,0,4.70939350000117,1,[4.954539500002284],[4.9545440999936545],4.98118699999759,4.992286399996374,4.992286399996374,4.992286399996374,10.25990209999145,Shinjini,1,[5.277823600001284],[5.2778287999972235],10.260477599993465,10.275828300000285,10.275828300000285,22.510137199991732,5,12.22825310000917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,22.52593249999336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.512810000000172,22.52593249999336,22.52593249999336,23.50961819999793,5,0.9785784999985481,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,23.52600589999929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.51016669999808,23.52600589999929,23.52600589999929,24.50954559999809,5,0.9784793999860995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,24.525933400000213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.510037899992312,24.525933400000213,24.525933400000213,25.509595499999705,5,0.9781521999975666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.509963199991034,25.52587179999682,25.52587179999682,26.50968999999168,5,0.9785584000055678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,1,STR,"A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",Becky lunges forward attempting to force her blade through the protective plate.,Becky’s sword pierces the plate and destroys the construct before it is able to shoot. She is able to proceed uninjured.,Becky’s sword grazes the exterior plate. She is shot by the crossbow and is injured.,Becky,6,,,,,0,0,0,0,0,0,0,0,112.73703239999304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.509725199997774,26.525855899992166,42.53358489999664,42.50952900000266,42.527335899998434,42.53358489999664,78.02576709999994,78.02578379999613,78.04236239999591,80.02580699999817,80.16741949999414,80.24971209999057,80.24971209999057,80.24971209999057,80.24971209999057,80.24971209999057,80.24971209999057,80.24971209999057,80.24971209999057,80.24971209999057,85.88803459999326,86.0130749999953,91.92315149999922,92.02540859999135,95.02526070000022,95.0254147999949,95.25846840000304,95.26862589998927,95.26862589998927,95.26862589998927,95.26862589998927,97.20790829999896,2,1.9344827000022633,0.0011639000003924593,97.20839139999589,97.22508609999204,112.73703239999304,112.70805329999712,112.7350560999912,112.73703239999304,112.73703239999304,113.50908329999947,5,0.7670536000077846,None,113.50955119999708,113.53524289999041,119.52457490000234,119.52458599999954,119.55903069999476,119.55903069999476,125.82688029999554,125.82688029999554,125.68527109999559,125.8206768999953,125.82688029999554,125.82688029999554,126.51073979999637,5,0.6774933999986388,None,126.51147479999054,126.5695873999939,126.5695873999939,126.5695873999939,126.5695873999939,126.5695873999939,126.5695873999939,126.5695873999939,126.5695873999939,130.75469789998897,None,"['1', '1']","[3.1834452000039164, 4.156685500012827]","[0.0009824000007938594, 0.0009380999981658533]",130.75509710000188,130.7695878999948,130.7695878999948,130.7695878999948,135.75851020000118,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,2,INT,"In the next room, the adventurers encounter a massive stone door with intricate runes. The inscription reads, "Solve the riddle to reveal what is behind." ",Emma relies on her wit to decipher the riddle. ,"Emma correctly deciphers the riddle, causing the stone door to open smoothly. She finds a small room filled with treasure.","Emma misinterprets the riddle, instead triggering a magical flash. She takes damage.",Emma,6,,,,,0,0,0,0,0,1,1,1,135.77528750000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.75880589999724,135.77528750000056,135.77528750000056,136.50955989999056,5,0.7289775999961421,None,136.51006770000095,136.54139069998928,142.54240439999558,142.54241799999727,142.55637099999876,142.55637099999876,148.79051710000203,148.79051710000203,148.64932009999757,148.78488249999646,148.79051710000203,148.79051710000203,149.50896069999726,5,0.7138770000019576,None,149.5093213999935,149.54124219999358,149.54124219999358,149.54124219999358,149.54124219999358,149.54124219999358,149.54124219999358,149.54124219999358,149.54124219999358,152.14219929999672,None,"['1', '1']","[2.0007343999895966, 2.5677173000003677]","[None, 0.0009500000014668331]",152.1424524000031,152.15701699999045,152.15701699999045,152.15701699999045,157.14206689999264,157.1585761000024,157.1585761000024,157.1585761000024,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,3,INT,"The floor is covered in a thick layer of mist. A booming voice announces, "Use your wit to navigate the mist or the mist might bite."",Becky decides to use her intuition to find a way through the mist.,"Becky cleverly observes the patterns in the mist, using her intelligence to discern a safe path and reach the other side unharmed.","Becky's vision is blocked by the mist, causing her to trip,  triggering a hidden trap. She suffers an injury.",Becky,7,,,,,0,0,0,0,0,2,2,2,157.1585761000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.142394399998,157.1585761000024,157.1585761000024,157.50884169999335,5,0.34684959999867715,None,157.50914229999762,157.5337215999898,163.52988180000102,163.52989469999739,163.54489579999063,163.54489579999063,170.8322130000015,170.8322130000015,170.68936069999472,170.8259820999956,170.8322130000015,170.8322130000015,171.5086886999925,5,0.6729865999950562,None,171.50899879999633,171.53863609999826,171.53863609999826,171.53863609999826,171.53863609999826,171.53863609999826,171.53863609999826,171.53863609999826,171.53863609999826,174.44300040000235,None,"['1', '1']","[2.2164812000119127, 2.8824376000120537]","[0.0008989999914774671, 0.0009979999886127189]",174.44324649999908,174.45680179999908,174.45680179999908,174.45680179999908,179.44209859998955,179.45850470000005,179.45850470000005,179.45850470000005,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,4,STR,"A gigantic salamander emerges from the shadows, hungry for flesh.",Emma tries to climb on the salamander’s back. She wrestles it into a choke hold.,Emma chokes the salamander into unconsciousness. She is unharmed in the encounter.,"The salamander’s giant maw bites Emma’s arm. She takes damage, but the salamander cowers into its den.",Emma,7,,,,,0,0,0,0,0,3,3,3,179.45850470000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.44247449999966,179.45850470000005,179.45850470000005,179.50864709999587,5,0.047075199996470474,None,179.50898879999295,179.53293329999724,185.52899059999618,185.52900119998958,185.54166770000302,185.54166770000302,192.82199579999724,192.82199579999724,192.67966829999932,192.81577370000014,192.82199579999724,192.82199579999724,194.5085906000022,5,1.6836485999956494,None,194.50893139999243,194.541748299991,194.541748299991,194.541748299991,194.541748299991,194.541748299991,194.541748299991,194.541748299991,194.541748299991,197.76129450000008,None,"['1', '1']","[2.442365400012932, 3.1754646000044886]","[0.0008822999952826649, 0.0008362000080524012]",197.7619221999921,197.78155739999784,197.78155739999784,197.78155739999784,202.77486859999772,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
1000,WhiteFemale_InGrp,Becky,Emma,5,INT,The floor between the entrance and exit of this chamber is segmented by large tiles with magical symbols. The tiles rest over a sticky tar-like substance. ,Emma attempts to rely on her intellect to solve the puzzle of the magical symbols.,Emma correctly identifies the sequence of tiles necessary to get across. She is showered by applause from the crowd.,Emma repeatedly steps on incorrect tiles but manages to make it across. She loses some valuables from her pack to the tar-like substance.,Emma,8,,,,,0,0,0,0,0,4,4,4,202.79157269999268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.77516029999242,202.79157269999268,202.79157269999268,203.50861319999967,5,0.7139502000063658,None,203.5089178999915,203.53698679999798,209.529555599991,209.52956670000276,209.56633319999673,209.56633319999673,217.87158209999325,217.87158209999325,217.72879579999426,217.86501729999145,217.87158209999325,217.87158209999325,218.50852589998976,5,0.6339446000056341,None,218.50882909999928,218.5416242999927,218.5416242999927,218.5416242999927,218.5416242999927,218.5416242999927,218.5416242999927,218.5416242999927,218.5416242999927,221.6604049000016,None,"['1', '1']","[2.35043510000105, 3.0686329000018304]","[0.0009142000053543597, 0.0008105000015348196]",221.66103139999905,221.68166010000277,221.68166010000277,221.68166010000277,226.67464579999796,,,,,,,,,,,,,,Plt2_Run1,001,2024-02-15_16h00.48.271,AdvTask_fMRI_masculinePronouns,2023.2.2,59.912850764540465,2024-02-15 16h00.59.705340 -0500,
