ConditionCode,Condition,PlayerA,PlayerB,TrialNum,TrialType,EncounterIntro,PlayerAction,RewardFeedback,PunishFeedback,EncounterPlayer,scenDelay,ImageDisarded.thisRepN,ImageDisarded.thisTrialN,ImageDisarded.thisN,ImageDisarded.thisIndex,exp_wrapper.thisRepN,exp_wrapper.thisTrialN,exp_wrapper.thisN,exp_wrapper.thisIndex,Encounters_Loop.thisRepN,Encounters_Loop.thisTrialN,Encounters_Loop.thisN,Encounters_Loop.thisIndex,thisRow.t,notes,Choose_Condition.started,InputSlider_Gender.started,InputSlider_Race.started,InputSlider_InOut.started,InputSlider_Swap.started,ProgressScreen.started,header.started,Choose_Condition.stopped,InputSlider_Gender.response,InputSlider_Gender.rt,InputSlider_Race.response,InputSlider_Race.rt,InputSlider_InOut.response,InputSlider_InOut.rt,InputSlider_Swap.response,InputSlider_Swap.rt,ProgressScreen.numClicks,ProgressScreen.timesOn,ProgressScreen.timesOff,Participant_Name.started,NameInput.started,participantName.started,button.started,Participant_Name.stopped,participantName.text,button.numClicks,button.timesOn,button.timesOff,WaitForScanner_discard.started,SyncPulse_discard.started,fix.started,WaitForScanner_discard.stopped,SyncPulse_discard.keys,SyncPulse_discard.rt,SyncPulse_discard.duration,W4S_Baseline.started,SyncPulse_Baseline.started,fix_baseline.started,W4S_Baseline.stopped,SyncPulse_Baseline.keys,SyncPulse_Baseline.rt,SyncPulse_Baseline.duration,BaselineFixation.started,Baseline.started,BaselineFixation.stopped,Instructions.started,Instructions_Text.started,Instructions.stopped,Delay.started,movie.started,Delay.stopped,Loading_Screen.started,PlayerLobby.started,Gamemaster.started,playerName.started,player1.started,loading.started,player2.started,loading2.started,player1_box.started,player2_box.started,loading.stopped,player1Reveal.started,loading2.stopped,player2Reveal.started,player1Reveal.stopped,player2Reveal.stopped,Loading_Screen.stopped,Loading_Complete.started,loadingComplete.started,textbox.started,next.started,key_response.started,Loading_Complete.stopped,key_response.keys,key_response.rt,key_response.duration,Scenario_Intro.started,intro.started,Scenario_Intro.stopped,W4S_Encounter.started,SyncPulse_Encounter.started,fix_encounter.started,W4S_Encounter.stopped,SyncPulse_Encounter.keys,SyncPulse_Encounter.rt,SyncPulse_Encounter.duration,Encounter_Intro.started,Encounter_intro.started,Encounter_Intro.stopped,Delay_2.started,movie3.started,ActionPrompt.started,movie3.stopped,ActionPrompt.stopped,Delay_2.stopped,W4S_Action.started,SyncPulse_Action.started,fix_Action.started,W4S_Action.stopped,SyncPulse_Action.keys,SyncPulse_Action.rt,SyncPulse_Action.duration,Player_Action.started,player_action_instructions.started,player_action_keys_punish.started,PlayerAction_text.started,RewardBox.started,PunishBox.started,player_action_keys_reward.started,rewardConfirmText.started,punishConfirmText.started,prog_Punish.started,prog_Reward.started,PunCountFeedback.started,RewCountFeedback.started,PunFeedback.started,RewFeedback.started,Player_Action.stopped,player_action_keys_punish.keys,player_action_keys_reward.keys,player_action_keys_reward.rt,player_action_keys_reward.duration,Feedback.started,Reward_Feedback.started,Punish_Feedback.started,Faster_feedback.started,Reward_Feedback.stopped,Punish_Feedback.stopped,Faster_feedback.stopped,Feedback.stopped,player_action_keys_punish.rt,player_action_keys_punish.duration,Conclusion.started,conclusionText.started,next2.started,keyResp3.started,Conclusion.stopped,keyResp3.keys,keyResp3.rt,keyResp3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,21.618087099999997,,0.001829200000003084,0.041087399999995,0.041087399999995,0.041087399999995,0.041087399999995,0.041087399999995,0.041087399999995,6.024178399999997,1,0.8555821000000066,1,1.1102159,1,1.3965833999999973,0,4.06622879999999,1,[5.996903799999998],[5.9969088],6.024281299999998,6.03455679999999,6.03455679999999,6.03455679999999,21.60246459999999,Jane,1,[15.577263400000007],[15.577268400000008],21.60580259999999,21.618087099999997,21.618087099999997,45.317925599999995,5,23.688997799999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,45.33440859999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.31879119999999,45.33440859999999,45.33440859999999,46.317874200000006,5,0.9726549000000091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
,,,,,,,,,,,,2,0,2,0,,,,,,,,,46.33439200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.318219,46.33439200000001,46.33439200000001,47.31799989999999,5,0.9727136999999857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
,,,,,,,,,,,,3,0,3,0,,,,,,,,,47.334422700000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.318346399999996,47.334422700000005,47.334422700000005,48.3179437,5,0.9726027000000101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.31827479999998,48.334372299999984,48.334372299999984,49.324909399999996,5,0.9726464999999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,1,STR,The adventuring duo find a fruit tree with numerous rare fruit hanging from its upper branches,Yuxi tries to shake the tree with all her might.,Yuxi's efforts make several of the fruit fall. She will be able to sell these back in the village.,Yuxi does not manage to shake any of the fruit loose. She hurts her shoulder in the process.,Yuxi,6,,,,,0,0,0,0,0,0,0,0,141.4664392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3249424,49.3376533,65.33484179999999,65.35807460000001,65.3627703,100.83510659999999,100.83512590000001,100.85164979999999,102.835676,102.9732583,103.07226080000001,103.07226080000001,103.07226080000001,103.07226080000001,103.07226080000001,103.07226080000001,103.07226080000001,103.07226080000001,103.07226080000001,108.6816509,108.83398679999999,114.68532719999999,114.8347125,117.83778509999999,117.83778509999999,117.8379381,118.07642039999999,118.0927858,118.0927858,118.0927858,118.0927858,125.917227,1,7.8185967000000005,None,125.91776289999999,125.93680499999999,141.4343474,141.46400839999998,141.4664392,141.4664392,142.3180461,5,0.8411159999999995,None,142.3185742,142.3420719,148.3393582,148.3393711,148.3697226,148.3697226,154.6394527,154.6394527,154.4973121,154.63319099999998,154.6394527,154.6394527,155.3180075,5,0.667935099999994,None,155.3186121,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,155.36252009999998,158.8856127,None,"['1', '1']","[3.0225891000000047, 3.5015063999999825]","[None, None]",158.8860446,158.9011327,158.9011327,158.9011327,163.90075190000002,163.90075190000002,163.90075190000002,163.8841879,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,2,INT,As the duo enter a forest they stumble upon a heavily worn wooden board that reads “forest map”.,Emma relies on her intelligence to parse the details of the map.,Emma successfully deciphers the map. She finds a path that avoids nearby hazards.,Emma gets confused by the worn map. She leads the duo into a quicksand pit causing them to drop some valubles.,Emma,7,,,,,0,0,0,0,0,1,1,1,163.90075190000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.884462,163.90075190000002,163.90075190000002,164.31814799999998,5,0.4066326000000231,None,164.31857920000002,164.3508469,170.33385309999997,170.3338646,170.36878520000002,170.36878520000002,177.65476750000002,177.65476750000002,177.5122704,177.6487944,177.65476750000002,177.65476750000002,178.31790679999997,5,0.6543023000000403,None,178.3182699,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,178.3528658,181.15294989999998,None,"['1', '1']","[2.5972622000000456, 2.7801560000000336]","[None, None]",181.15321120000002,181.1667505,181.1667505,181.1667505,186.1681756,186.1681756,186.1681756,186.1502005,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,3,INT,The duo stumbles upon a elvish merchant. The merchant says "solve my riddle to earn a prize or else pay me a token!",Yuxi relies on her wit to make sense of the riddle.,Yuxi solves the riddle. She is rewarded with a small silver trinket.,Yuxi is unable to make sense of the riddle. She is obligated to pay the merchant.,Yuxi,6,,,,,0,0,0,0,0,2,2,2,186.1681756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1506901,186.1681756,186.1681756,186.31737389999998,5,0.1399528000000032,None,186.31760139999997,186.34074460000002,192.3372916,192.3373018,192.3679589,192.3679589,198.672206,198.672206,198.53025920000002,198.66591680000002,198.672206,198.672206,199.31765240000001,5,0.6363130000000297,None,199.3179967,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,199.35539730000002,203.60694120000002,None,"['1', '1']","[4.022949799999992, 4.222718400000019]","[None, None]",203.6071944,203.61787259999997,203.61787259999997,203.61787259999997,,,,208.61765110000002,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,4,STR,A fissue connects the two sides of a valley. ,Emma tries to use her athleticism to jump across the fissure.,Emma successfully jumps the gap. She is able to secure a rope to throw back across.,Emma barely grabs on to the edge. She is able to climb up and secure a rope but is injured in the process.,Emma,6,,,,,0,0,0,0,0,3,3,3,208.6341062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.6180724,208.6341062,208.6341062,209.3175767,5,0.6751105999999822,None,209.3179198,209.34580559999998,215.34288689999997,215.3428974,215.38076099999998,215.38076099999998,221.64829540000002,221.64829540000002,221.50650140000002,221.64252000000002,221.64829540000002,221.64829540000002,222.3179646,5,0.6600283999999874,None,222.31849429999997,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,222.3640907,226.96996140000002,None,"['1', '1']","[4.377078299999994, 4.562213100000008]","[None, None]",226.97021329999998,226.98324999999997,226.98324999999997,226.98324999999997,231.98515160000002,231.98515160000002,231.98515160000002,231.9665042,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
1110,ChineseFemale_OutGrp,Emma,Yuxi,5,INT,An ancient statue stands before the adventurers. On it is etched an unfamiliar language. ,Emma tries to rely on her intelligence to decipher the language.,Emma is able to  decipher a set of instructions to a nearby cache. She is led to a cache of small gemstones.,Emma is unable to make sense of the language. She is left empty handed.,Emma,7,,,,,0,0,0,0,0,4,4,4,231.98515160000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.9671868,231.98515160000002,231.98515160000002,232.31755180000002,5,0.3237005000000295,None,232.3179516,232.3501727,238.33744879999998,238.3374582,238.3729246,238.3729246,245.6624432,245.6624432,245.51726849999997,245.65305579999998,245.6624432,245.6624432,246.31762899999998,5,0.6459768000000281,None,246.31802079999997,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,246.3623208,249.57425070000002,None,"['1', '1']","[2.9837229999999977, 3.179781300000002]","[None, None]",249.57450579999997,249.5856674,249.5856674,249.5856674,,,,254.5835264,,,,,,,,,,,RBDCW009_Run2,RBDCW009_Run2,2024-04-15_11h10.34.054,AdvTask_fMRI_masculinePronouns,2023.2.2,59.94186837604678,2024-04-15 11h10.48.701121 -0400,
